area,bedrooms,bathrooms,location,house_age,parking,price
1000,2,1,Colombo,10,1,250000
1200,2,1,Kandy,8,1,270000
1500,3,2,Colombo,5,1,350000
1800,3,2,Galle,6,1,390000
2000,3,2,Negombo,4,2,430000
2200,4,3,Colombo,3,2,550000
2500,4,3,Kandy,2,2,580000
2800,4,3,Galle,3,2,620000
3000,5,4,Colombo,1,3,750000
3500,5,4,Negombo,1,3,820000
1100,2,1,Galle,12,1,240000
1300,2,1,Negombo,9,1,280000
1400,3,1,Colombo,7,1,310000
1600,3,2,Kandy,6,1,360000
1700,3,2,Galle,5,1,375000
1900,3,2,Colombo,4,1,420000
2100,4,2,Negombo,5,2,460000
2300,4,3,Colombo,4,2,530000
2400,4,3,Kandy,3,2,555000
2600,4,3,Galle,2,2,595000
2700,4,3,Colombo,2,2,640000
2900,5,3,Kandy,3,2,680000
3100,5,4,Galle,1,3,720000
3200,5,4,Colombo,1,3,770000
3300,5,4,Negombo,2,3,790000
1050,2,1,Kandy,11,1,245000
1150,2,1,Colombo,10,1,255000
1250,2,1,Galle,9,1,265000
1350,3,1,Negombo,8,1,295000
1450,3,2,Colombo,6,1,325000
1550,3,2,Kandy,5,1,345000
1650,3,2,Negombo,5,1,365000
1750,3,2,Colombo,4,2,385000
1850,3,2,Kandy,4,2,405000
1950,4,2,Galle,3,2,435000
2050,4,2,Colombo,3,2,475000
2150,4,3,Kandy,3,2,510000
2250,4,3,Negombo,3,2,535000
2350,4,3,Colombo,2,2,565000
2450,4,3,Galle,2,2,575000
2550,4,3,Kandy,2,2,590000
2650,5,3,Colombo,2,2,625000
2750,5,3,Negombo,2,2,650000
2850,5,4,Kandy,1,3,670000
2950,5,4,Galle,1,3,710000
3050,5,4,Colombo,1,3,740000
3150,5,4,Kandy,1,3,755000
3250,5,4,Negombo,1,3,780000
3400,5,4,Colombo,0,3,810000
3450,5,4,Galle,0,3,815000
1080,2,1,Negombo,13,1,242000
1120,2,1,Colombo,10,1,252000
1180,2,1,Kandy,10,1,258000
1220,2,1,Galle,9,1,262000
1280,3,1,Negombo,8,1,285000
1320,3,1,Colombo,8,1,300000
1380,3,2,Kandy,7,1,315000
1420,3,2,Galle,6,1,320000
1480,3,2,Negombo,6,1,330000
1520,3,2,Colombo,5,1,340000
1580,3,2,Kandy,5,1,350000
1620,3,2,Galle,5,1,362000
1680,3,2,Colombo,4,2,380000
1720,3,2,Kandy,4,2,388000
1780,3,2,Negombo,4,2,396000
1820,4,2,Colombo,3,2,415000
1880,4,2,Kandy,3,2,425000
1920,4,2,Galle,3,2,438000
1980,4,2,Negombo,3,2,445000
2020,4,3,Colombo,3,2,465000
2080,4,3,Kandy,3,2,478000
2120,4,3,Galle,3,2,490000
2180,4,3,Negombo,3,2,505000
2220,4,3,Colombo,2,2,540000
2280,4,3,Kandy,2,2,548000
2320,4,3,Galle,2,2,560000
2380,4,3,Negombo,2,2,570000
2420,4,3,Colombo,2,2,580000
2480,5,3,Kandy,2,2,600000
2520,5,3,Galle,2,2,612000
2580,5,3,Negombo,2,2,620000
2620,5,3,Colombo,1,3,632000
2680,5,3,Kandy,1,3,645000
2720,5,4,Galle,1,3,655000
2780,5,4,Negombo,1,3,665000
2820,5,4,Colombo,1,3,675000
2880,5,4,Kandy,1,3,685000
2920,5,4,Galle,1,3,695000
2980,5,4,Negombo,1,3,705000
3020,5,4,Colombo,0,3,730000
